GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flights-service,com.flightapp.flights.controller,FlightController,0,56,0,0,0,15,0,8,0,8
flights-service,com.flightapp.flights.controller,AirlineController,0,55,0,0,0,15,0,8,0,8
flights-service,com.flightapp.flights.service,AirlineService,0,87,0,0,0,21,0,8,0,8
flights-service,com.flightapp.flights.service,FlightService,0,147,0,2,0,34,0,10,0,9
flights-service,com.flightapp.flights.dto,FlightSearchRequest,7,24,0,0,3,11,2,7,2,7
flights-service,com.flightapp.flights.model,Airline,6,52,0,0,2,23,2,13,2,13
flights-service,com.flightapp.flights.model,Flight,14,93,0,0,6,40,4,25,4,25
flights-service,com.flightapp.flights.exception,GlobalExceptionHandler,0,16,0,0,0,7,0,3,0,3
flights-service,com.flightapp.flights.exception,InsufficientSeatsException,0,4,0,0,0,2,0,1,0,1
flights-service,com.flightapp.flights.exception,FlightNotFoundException,0,4,0,0,0,2,0,1,0,1
